user_username,user_display_name,user_profile_url,text,hashtags,mentions,has_image,has_video,timestamp,tweet_url,tweet_id,is_retweet,extracted_at
Yrants,Yrants,https://twitter.com/Yrantss,Uber Drivers Strike To Protest Company’s Fare Cuts http:// via #CBSNews#lyft#news#taxiprotest#UberProtest#uber,"#CBSNews,#lyft,#news,#taxiprotest,#UberProtest,#uber",,False,False,2016-02-02T15:01:54.000Z,https://twitter.com/Yrantss/status/694536224095236096,694536224095236096,False,2025-02-26T20:59:31.120349
ZoominTV,ZoominTV,https://twitter.com/zoomintv_global,Taxi drivers furious at anti-#Uberprotest in Paris http://#UberProtest#Taxes,"#Uber,#UberProtest,#Taxes",,True,False,2016-01-27T21:00:23.000Z,https://twitter.com/zoomintv_global/status/692452113629089792,692452113629089792,False,2025-02-26T20:59:31.123127
619 News Media,619 News Media,https://twitter.com/619NewsMedia,LIVE on #Periscope: #UberProtest#UberProtest in San Diego https://WGJueWFLZG58MVprS3pCWkJvQURLdt-wi9mUyJLMAVA2u68iw8MLJ6uBpTC2535VRu9zoIz6…,"#Periscope,#UberProtest,#Uber",,False,False,2016-01-16T00:19:30.000Z,https://twitter.com/619NewsMedia/status/688153567643840515,688153567643840515,False,2025-02-26T20:59:34.004533
Protest Pin,Protest Pin,https://twitter.com/ProtestPin,"RT TheloniusPoon: Uberprotest today #uber#uberprotest#toronto#cityhall#protest @ Old City Hall Cenotaph, Toro… http://;","#uber,#uberprotest,#toronto,#cityhall,#protest",,False,False,2015-12-10T03:45:00.000Z,https://twitter.com/ProtestPin/status/674796933639221248,674796933639221248,False,2025-02-26T20:59:34.008534
𝕊𝕒𝕞𝕦𝕖𝕝 𝕆𝕦𝕘𝕒,𝕊𝕒𝕞𝕦𝕖𝕝 𝕆𝕦𝕘𝕒,https://twitter.com/Ougasam,"Over 2,000 cab drivers converge in #Toronto to protest against taxi sharing app @Uber One of them here #uberprotest","#Toronto,#uberprotest",@Uber,True,False,2015-12-09T20:06:40.000Z,https://twitter.com/Ougasam/status/674681587703791617,674681587703791617,False,2025-02-26T20:59:37.007343
Rational Gooner,Rational Gooner,https://twitter.com/YGKGooner,Cabs: Let's protestUber by slowing down and blocking major streets. People won't hate us. Makes sense. #uberprotest,#uberprotest,,False,False,2015-12-09T19:19:17.000Z,https://twitter.com/YGKGooner/status/674669663213735937,674669663213735937,False,2025-02-26T20:59:41.105594
Kev,Kev,https://twitter.com/kebbin,Wow. University Ave downtown #Toronto is filled with angry taxis in a mass protest against #Uber. #YYZ#uberprotest,"#Toronto,#Uber,#YYZ,#uberprotest",,True,False,2015-12-09T18:27:35.000Z,https://twitter.com/kebbin/status/674656655221501952,674656655221501952,False,2025-02-26T20:59:41.121355
Lisa,Lisa,https://twitter.com/YoungStreete,#taxi drivers  protest should be directed to #government who is over regulating them and not #uber drivers. #uberprotest#uber#TaxiDrivers,"#taxi,#government,#uber,#uberprotest,#uber,#TaxiDrivers",,False,False,2015-12-09T17:48:26.000Z,https://twitter.com/YoungStreete/status/674646802176548864,674646802176548864,False,2025-02-26T20:59:44.631933
Notable Life,Notable Life,https://twitter.com/NotableCA,Right Now: #Toronto Taxis Are Causing Major Traffic Jams to ProtestUber#uberprotest#TO#traffichttp://,"#Toronto,#uberprotest,#TO,#traffic",,False,False,2015-12-09T15:25:48.000Z,https://twitter.com/NotableCA/status/674610907792699393,674610907792699393,False,2025-02-26T20:59:55.440607
Christie Macpherson,Christie Macpherson,https://twitter.com/scentswchristie,Check out this gridlock #protest movement (or lack thereof)! A #TaxiDriver uprising #uberprotest Do you use Uber?,"#protest,#TaxiDriver,#uberprotest",,True,False,2015-12-09T15:11:56.000Z,https://twitter.com/scentswchristie/status/674607415648632832,674607415648632832,False,2025-02-26T20:59:55.440607
Protest Pin,Protest Pin,https://twitter.com/ProtestPin,RT SaharActually: Massive #uberprotest @ Yonge & Harbour - so much noise! Will this win the public's favour? #toronto#Uber#protest,"#uberprotest,#toronto,#Uber,#protest",,False,False,2015-12-09T13:29:07.000Z,https://twitter.com/ProtestPin/status/674581542933544960,674581542933544960,False,2025-02-26T20:59:55.455708
Sahar,Sahar,https://twitter.com/SaharActually,Massive #uberprotest @ Yonge & Harbour - so much noise! Will this win the public's favour? #toronto#Uber#protest,"#uberprotest,#toronto,#Uber,#protest",,True,False,2015-12-09T13:22:58.000Z,https://twitter.com/SaharActually/status/674579995537227777,674579995537227777,False,2025-02-26T20:59:55.455708
Joana Ramiro,Joana Ramiro,https://twitter.com/JoanaRamiroUK,While some drivers protest a line of new drivers and drivers to be queues outside @Uber HQ in London #uberprotest,#uberprotest,@Uber,True,False,2015-11-12T12:52:41.000Z,https://twitter.com/JoanaRamiroUK/status/664787900115103744,664787900115103744,False,2025-02-26T20:59:57.842813
